data,preco,^GSPC
2025-09-04,610964.8683768854,6502.080078125
2025-09-04,609626.0294481856,6502.080078125
2025-09-04,607779.8557308832,6502.080078125
2025-09-04,605929.3900426979,6502.080078125
2025-09-04,605622.4710744277,6502.080078125
2025-09-04,603243.591878595,6502.080078125
2025-09-04,601754.1252876743,6502.080078125
2025-09-04,602597.814812601,6502.080078125
2025-09-04,603720.0845913602,6502.080078125
2025-09-04,604266.1526145426,6502.080078125
2025-09-04,604318.155185088,6502.080078125
2025-09-04,604356.3722338865,6502.080078125
2025-09-04,604721.9372167902,6502.080078125
2025-09-04,602000.634875732,6502.080078125
2025-09-04,600490.1498966914,6502.080078125
2025-09-04,598791.2179717562,6502.080078125
2025-09-04,598886.8487417127,6502.080078125
2025-09-04,599074.7216686802,6502.080078125
2025-09-04,599230.9800609939,6502.080078125
2025-09-04,598395.1965558965,6502.080078125
2025-09-04,601289.712771466,6502.080078125
2025-09-04,602014.1405266662,6502.080078125
2025-09-04,606987.8096869403,6502.080078125
2025-09-05,603155.6176014519,6481.5
2025-09-05,601858.5598950858,6481.5
2025-09-05,604987.9775046569,6481.5
2025-09-05,606394.466309362,6481.5
2025-09-05,606064.6801640348,6481.5
2025-09-05,606889.699336246,6481.5
2025-09-05,607414.6752195841,6481.5
2025-09-05,609255.9754954013,6481.5
2025-09-05,615239.5778280536,6481.5
2025-09-05,613973.2444521936,6481.5
2025-09-05,611530.2705123681,6481.5
2025-09-05,611456.2908587715,6481.5
2025-09-05,612267.5484525408,6481.5
2025-09-05,611426.3236481393,6481.5
2025-09-05,608869.1176077061,6481.5
2025-09-05,597837.4107682778,6481.5
2025-09-05,597427.7074261329,6481.5
2025-09-05,598287.0649084969,6481.5
2025-09-05,597688.7789871308,6481.5
2025-09-05,601430.3118789799,6481.5
2025-09-05,603576.3305967463,6481.5
2025-09-05,604273.8710836737,6481.5
2025-09-05,599108.0731726805,6481.5
2025-09-05,600134.3432729385,6481.5
2025-09-08,601680.1205127522,6495.14990234375
2025-09-08,600089.971021184,6495.14990234375
